preproduction payer_id,payer_name,payer_country,payer_service,payer_currency,transaction_type
276,Bank Sulut,Indonesia,BankAccount,IDR,B2C
286,Bank Swadesi,Indonesia,BankAccount,IDR,C2C
317,Bank Syariah Bukopin,Indonesia,BankAccount,IDR,C2C
305,Bank Syariah Mandiri,Indonesia,BankAccount,IDR,B2B
305,Bank Syariah Mandiri,Indonesia,BankAccount,IDR,B2C
305,Bank Syariah Mandiri,Indonesia,BankAccount,IDR,C2C
314,Bank Syariah Mega Indonesia,Indonesia,BankAccount,IDR,B2B
314,Bank Syariah Mega Indonesia,Indonesia,BankAccount,IDR,B2C
314,Bank Syariah Mega Indonesia,Indonesia,BankAccount,IDR,C2C
298,Bank Tabungan Negara,Indonesia,BankAccount,IDR,B2C
298,Bank Tabungan Negara,Indonesia,BankAccount,IDR,B2B
298,Bank Tabungan Negara,Indonesia,BankAccount,IDR,C2C
294,Bank Windu Kentjana,Indonesia,BankAccount,IDR,C2C
249,Bank Woori Indonesia,Indonesia,BankAccount,IDR,C2C
299,Bank Woori Saudara,Indonesia,BankAccount,IDR,B2C
299,Bank Woori Saudara,Indonesia,BankAccount,IDR,C2C
299,Bank Woori Saudara,Indonesia,BankAccount,IDR,B2B
309,Bank Yudha Bhakti,Indonesia,BankAccount,IDR,C2C
262,BPD Jateng,Indonesia,BankAccount,IDR,B2C
262,BPD Jateng,Indonesia,BankAccount,IDR,C2C
262,BPD Jateng,Indonesia,BankAccount,IDR,B2B
272,BPD Kalbar,Indonesia,BankAccount,IDR,B2B
272,BPD Kalbar,Indonesia,BankAccount,IDR,C2C
272,BPD Kalbar,Indonesia,BankAccount,IDR,B2C
271,BPD Kalsel,Indonesia,BankAccount,IDR,B2B
271,BPD Kalsel,Indonesia,BankAccount,IDR,C2C
271,BPD Kalsel,Indonesia,BankAccount,IDR,B2C
275,BPD Sulsel,Indonesia,BankAccount,IDR,C2C
275,BPD Sulsel,Indonesia,BankAccount,IDR,B2C
275,BPD Sulsel,Indonesia,BankAccount,IDR,B2B
283,BPD Sulteng,Indonesia,BankAccount,IDR,C2C
283,BPD Sulteng,Indonesia,BankAccount,IDR,B2B
